,titles,label
7343,Thailand Teen Jun Tight Pussy,1
4001,Nicole Kidman sex scene in series big little lies,1
9435,"cant stay up any later, although im missing my show. ",0
303,Big Titted Deauxma and Kelly Madison Threeway!,1
2678,Dope whore with amazing skills,1
29253,shaundiviney Wish I could come see you  Living in Queensland sure does suck sometimes,0
18606,FriedWontons4u failed indeed ,0
5898,YOUNG BURNING SEX,1
8615,Dear AT&amp;T:  Get your act together with the Coachella webcast.  I missed The Hold Steady end.    http://music.att.com,0
1097,Namorada Tarada e Amadora,1
5327,Guy bonks breathtaking teen,1
14243,LuciiLou i always get 'the evil eye' of mine  WOOO METRO STATION IS LURVEE &lt;3 what songg is it??,0
10250,She Couldn't Take All The Dick,1
9140,"I just wrote and entire story, and it didn't save.   Motherfucker.  ",0
5754,Simba is already missing Sally &amp; Zac  http://apps.facebook.com/catbook/profile/view/1043840,0
20705,talked to sis earlier.. miss her soooo much!!! ,0
15051,"nick_carter Now I feel like a right tool, cos I'm prob the only one who doesn't get the joke lol. Am I really that stupid? ",0
9229,Two Teen Fucking in The Room,1
406,Legal age teenager sex downloads,1
2146,Homemade-web 4537800,1
29436,just came out of a system restart just to do one more!!! ,0
5186,Love Home Porn amateur video of a teen in dreadlocks enjoying a hardcore fucking,1
12479,i doubt their going  to play JB on radio one today ,0
11008,I've totally forgotten that I have a Twitter account ,0
25047,"jademaid I'd love to have a hammock, might have to invest in one this year since I can't put the trampoline up ",0
14529,"Wig buying on eBay as I'm too chicken to dye it because I'm a fool    Arse... 11pm already, forgot to eat dinner... off to fry an egg",0
27540,greggrunberg BFTV available on iTunes or Amazon mp3 at all? No CD drive on my netbook ,0
23522,lost my hairbrush. ,0
5679,Pettite sister dance - full in crakcam.com - camera chat sites 39,1
12211,"stonermc I don't even know where he's playing. But probably not, I'm in Cornwall. ",0
24134,Cherye101 I feel sickkkkk  Chemistry is killing me  I can't do it anymoreee ,0
22108,"OzAtheist yeah, it's horrifying.  #dateline",0
15323,jimmymarsh617 Why did the date change from the 2nd to the 3rd??? It makes me really sad!!!!!!! ,0
3508,18 Year Old Teenie Angel Smalls Rims & Fucks An Old Fart,1
8015,off to teach Spinning...and hopefully find my missing shirt ,0
6176,just got twitter and has noone following me ,0
13932,ClassicSydney oh my gosh well be careful and stay safe out there! So sorry to hear that ,0
25158,Dropped my iPhone in the sink. I hope it works when it dries ,0
4143,just back from asda with my sons girlfriend. going to see dad in hospital later ,0
21862,"Vronnyka Also, why are you not on my face? It is lonely ",0
17324,"StevenLan Why would you say that? Lol, now I'm staring at the cup i waited literally about 20 minutes to get. ",0
4206,AbbieLeona_Ox Liverpool. Don't get me jealous  going to london on thursdaiii ,0
14690,"I'm at home today, on the sick.  I hate it. Don't like having to phone work and let them know I cant work. If only I could make a wish",0
3417,big monster sex,1
6590,My twitter avatar isn't loading ,0
27267,Just got online.. only to realize that her friends are already gone.. ,0
18633,"Watching the Food Channel. In Chopped, one chef accidently used salt instead of sugar in his desert dish. Didn't taste test it first.  ",0
12819,"is sad that he can't go hiking today, but even sadder that he stranded the scout troop out on muddy roads.  ",0
5958,Happy 10-pounder permeates,1
4833,THE BEST AMATEUR PORN on THE PLANET,1
5570,FEMALE ORGASM,1
8489,1000cigarettes Awwww!  &quot;Our state is better than yoooooours!&quot; *grin*,0
1420,marlonjenglish ,0
28980,"Damn damn -- no iPhone support for Windows XP x64. There are some workarounds, but if I can't figure this out -- shit. Vista. ",0
11322,Abella Danger and Gina Valentina gets fucked by a huge black guy,1
598,"im lonely  keep me company! 22 female, new york",0
7291,Aaaarh!!!! I was doing fine from 1 till 50. Questions 51 to 65 were the a to n kind. luckily that was part A. Part B was much harder. ,0
6446,BANG.com: Best Of Anal Creampies,1
1350,"nicolerichie: Haha. Yeah, they were that band from MMC! I used to have a CD, but I lost it. ",0
1458,Black BBC Man Fucks Some Horny Wife With Tight Butt - cheating wife housewife hotwife cuckold cuckolding hot milf mature cougar voyeur amateurs amateur video amateur sex video real amateur porn hot naked women,1
2393,"Tried to install a Twitter-application on my phone. Didn't work tough, boo! ",0
27303,Lol @aplusk sorry to hear that u r sick  get well soon!,0
13596,Brother does me when I'm really sad,1
13616,Stop raining please I HAVE PLANSSSS ,0
16746,First really nice full day of the year we were outside most of the day! Kids have sunburns.  that was one thing I was not thinking about.,0
16821,krysivory LMAO!! I remember it all too well my friend ,0
2832,Just watched Grey's Anatomy. I cried.  I will be writing now. I miss Meg. ,0
19018,i totally had the perfect theme to &quot;appropriate&quot; for my blog but now i can't find the link ,0
1963,Family Amateurs Secrets in*est mother and father,1
7980,"Oh gosh, I am so sick today ",0
15253,holydueg Clearly you can multitask. Why can't I? ,0
22117,I haven't been on Twitter for ages! I have a blinder  going for a bubble bath ,0
14146,still a headache at 3:30 ,0
21402,hey what a morning!! gig last night was fun apart from the bad sound. off to uni  boo but it may be closed when i get there oh well. xxx,0
27425, I need another week of spring break you have no idea how much I dread going to school tomorrow,0
11243,Stepmom spreads legs for big black cock,1
3841,Consummate tiny legal age teenager porn,1
12183,cherub_rock123 I have no kids so I cant go ,0
5995,Pettite german vibrator - full in crakcam.com - free live video chats 38,1
29544,Signing off for the night. Good night all! Seeya in 6 hours! ,0
8469,not loving the new eminem ,0
4161,63.15 quid for a rear wiper arm for our car. Thats not including the wiper blade either... ,0
4957,Brunette accro au cul veut deux mecs,1
9492,"heidimontag if your BEST friend in the WHOLE WORLD died in a sudden car crash, what would you say to her parents?  that just happened 2me",0
2329,maybe an insomniac.. or just nocturnal ,0
17525,bummed AND i can't sleep  fml,0
4531,Boquete babado delicioso com  uma gata amadora gostosa chupando a rola,1
2958,CgOWWA536iIfK6Cg,1
6038,Going through the motions when I just want to go right back to bed. ,0
11845,"amadan24 The big toe is doing just fine... jeans are in the trash...   Wait, an excuse to go shopping today!  ",0
5233,COMPILADO AMADOR,1
9595,Me and my busty 19yo stepsis share a bedroom and she wants to take a nap.She looks insanely hot in her lingerie so I start jacking off next to her,1
5759,big gorilla on steroids can't keep it hard and breaks the bed,1
10011,At Opening Day--the Commerce Bank &quot;C&quot; mascot just walked by. The bank is changing its name--will the &quot;C&quot; lose its job? ,0
16220,"I feel so out of the loop sometimes  I have to write a poem tomorrow for English, wish I actually had some talent in writing :-/ night all",0
690,Sexy Teen Charity Crawford Rides a Sybian to Screaming Orgasm,1
14772,Its finished now  i cried.  Brillant movie,0
27764,"Papa Johns, a Sprite and TVOne...this paper just isn't gonna get done! ",0
21005,Got injured in the process at 16k mark. Wasted good lead time. Limping arounf now. ,0
12395,Blonde blows cock in the stores dressing room,1
144,Teens Blondes Cousins have Hard sex-Watch Part2 on Hotcamshd.com,1
3691,016,1
3451,I have no idea how to use twitter.  No one wants to follow me cause I'm a bland person.,0
5031,mom son sex amateur,1
2153,Backroom porn try-out,1
8488,at work ,0
17393,All dissapointing   .hows the party,0
12197,Girl Deepthroat Sucking Dick With Cum in her Mouth,1
25269,sad to leave dayton ,0
29985,I feel like barfing. Was it the cake or the idea of going into work tomorrow? I don't know what to do. ,0
21734,"ahhh it looks so sunny .. however I still need a scarf today, considering my current health condition  oh well, not hot pants today ;)",0
9095,"PhillyD OMG you are starting to be my magazines, i haven't seen your vids for about a month  i'm too busy now!",0
28064,anyone selling an iphone? i need one! they stole mine ,0
29686,sonyawinder hahahah it's way cute. Why does it cost sooo much ,0
11200,Blacked white girl first black cock,1
7464,Good morning cloudy day  I hate cold spring morning !!,0
4071,Sexy German Honey Emily First Ersties Appearance,1
15147,doing school work on a saturday night ,0
11159,Pussy pump-latina,1
23963,enjoying my last day of break-sorda. back to being a teacher in the morning ,0
12624,Teen  natural Big boob first blowjob,1
1352,Versione free - Mi faccio leccare la cappella da mia madre la sua lingua mi eccita,1
27538,Off to Chicago later today. I love it there except it is susposed to be cold ,0
2724,just had a bowl of bran flakes and is about to ave a shower and do revision! ,0
11003,Stuck at work on an absolutely gorgeous Saturday. This is so unfair ,0
5415,Precious sister dildo - full in crakcam.com - free live sex webcams 20,1
21303,mchampanis http://ie6update.com crashed my Firefox when I clicked on &quot;see a demo&quot;... ,0
10588,MomsWithBoys - Big Tits Ass Gaping Hardcore Fucking MILF Velicity Von,1
13010,Football goes somewhere elese,1
24421,I'm going back to Toledo today ,0
11305, i cant get kristen srewart to add me lol she prob  thinks im a stalker lol,0
926,An Early Morning Blowjob End Up In Fucking,1
19998,I threw my sign at donnie and he bent over to get it but it was under a thingee so he made a sad face at me ,0
15785,Sittin revisin... on a sunday  The party animal is officially dead (,0
3740,Threesome Pounding with vanilla chocolate babes,1
9663,SLUTWIFE CLUB: Best of 2020 Amateur Porn Compilation,1
6401,Maestra Laura,1
28220,Twitter is confusing ,0
6792,I'm really sleepy because I couldn't sleep last night ,0
10613,Milf lets teen play with her big boobs,1
29382,"trejsi Yep that's what happened, it says my username is in use, but I got disconnected and yeah so lame ugh!! ",0
1460,TerryFree Lol byeee time to go ,0
4027,skinny teen,1
4227,I Met her inside public bus and we end up fuck ourselves in an hotel nearby,1
9433,Dancing bear parties,1
10061,bhabhi ki chudai,1
4063,Adorable teen with big natural boobs sucks and fucks in her first porno,1
16320,I thought I was going to get a night to myself for once. Just me &amp; my book. ,0
5978,waiting on Ms.Mitchell  I hate waiting ,0
29063,arianna says ouch ,0
6399,Sexo con placer,1
8476,Hot mom catches babysitter and milf compeer's daughter gangbang first,1
17616,AndieApolinario mr s no longer has fb ,0
7349,Asian girl fucked roughly by stepdad,1
17062,karasalazar I'm sorry   I'm watching some movie with Bily Ray Cyrus in it.,0
26734,"katecameron2002 Oops! Meant Dad gone &amp; I'm good with mum...missed out the important bit there. It's 8 yrs,but she's still not over it ",0
22423,Why do Nokia's die so quickly  Thinking I might just need a new phone,0
27000,"just signed up, trying to find a friend who also just signed up. we can't find each other ",0
4709,Loads of cum - amateur compilation of cum,1
15187,"JohnBfromTN Hrm. The closest I can find to &quot;Wicked Voodoo&quot; is &quot;Crimson Voodoo,&quot; made by a NO-based brewrey now offline.  Confirm?",0
4767,Versione free - Mia madre mi ha chiesto di farla godere perché papà non la soddisfa,1
29020,Mad that I missed church today once again!!! ,0
20781,talieshablackie nup  what was it?,0
8020,how far away will tier 3 be!?  ,0
7832,mumblingmutant What happened to your icon? I liked that little green ferocious guy ,0
3950,Wild bawdy cleft loving action,1
5180,Teenage amateurs fucking each other!,1
12349,Stepmom surprises her stepson by giving him a blowjob and a handjob as a bday gift.Then he wakes her up putting his cock on her mouth and bangs her,1
16860,Headed out with D and friends for some fun! Not staying out crazy late.....working all day tomorrow!  after a mimosa brunch if course!,0
20886,"it's already 2:22 am here, I need to sleep now for tomorrow's worship. I'm still sick  Pls pray for me.",0
830,Ebony Sucking Wite Dick in Job Interview,1
9661,f. My Best Friend Into Fucking Me,1
897,TAKING MY PUSSY ON HER COCK WHILE I CUMMO EVERYWHERE - PORNDOWNLOAD.CLUB,1
3255,Anal addiction 327,1
794,Ghana,1
2553,I don't like this 9-5 malarky - I should be out seeing my friends who I haven't seen in months  stupid work ,0
19895,I should have stayed in Kville this semester. I miss my friends. ,0
11970,MOM Cougars love sucking cock,1
18492,"_TWEE Oh, man.. I am soOo bored  ",0
27746,I just had to convince myself not to take a free Bausch &amp; Lomb microscope from Freecycle. WANT. but do NOT need.  I miss biology class.,0
4358,Licking of hairy older pussy,1
5517,Oscar is getting ready to be neutered  http://apps.facebook.com/dogbook/profile/view/6366157,0
5173,Redheaded Teen Amateur Fucks and Gets Her Face Covered in Jizz,1
8043,Lesbian fun with bossy lady in her office,1
11753,"First there was no milk for cereal. Then I saw no more bananas. Made some toast, and dropped it on the floor on the way to my mouth. ",0
22076,how dare it be sunny! ,0
19850,staceyBEAR I mean really sick.	 I just threw up. ,0
26138,Is LJ acting up for anyone else right now?  I can't get on to post.  ,0
2491,JLSOfficial a photoshoot eyy'...im sure you will all look HOT ! come back to Brighton  !! say hellooo to the boys...love you LOADS xxxxxx,0
18908,"carolinaa_aa it was soo good seeing you, i missed you too! i'm sorry if i seemed out of it, love haha  can't wait to see you again! &lt;3",0
27751,"Mr_Heartbreak Its ok sir, I understand your envy. ",0
236,CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,0
23078,Is off to work! How not cool! Its too sunny outside to work! ,0
15243,the computer is maybe entirely totally completely &amp; utterly dead. ,0
7868,Massage teen ass fingered,1
5599,"Ouch, I just bit my tongue as I sneezed. Blood tastes rough ",0
13944,MsGJones I love csi vegas but it's not the same without Grissom &amp; Warrick ,0
17539,NicLinkletter sorry about the adding thing my phone was on the fritz and kept unfollowing you! ,0
18540,oh noes!!!! Blend just crashed on me!!!! lost a bunch of stuff ,0
15621,meesh1813 hahaha omg im gonna barf you two have issuesssssssss. ps- im sad and sorry im not coming tonight  im taking my temp as we speak,0
7012,Jordi bangs bangs an Arab girl in hijab and she cannot believe her luck!,1
26755,"finished dinner, dude i have 1 poem to make  i cant do that. 0.o help me? ",0
3803,Two guys on one girl,1
7409,Tiny Asian stepdaughter and her mom share stepbros cock,1
8826,zionxpress  Soon though? Will you join him on the road then?,0
5264,recopilacion de videos de sexo anal sexo duro y mucho mas,1
7428,Got a toothache ,0
12022,"Really needs a companion to go to the paper airplanes show tonight, please? ",0
14217,is incapable of getting anything done ,0
694,MY TWEETS ARENT GOING THROUGH ,0
9818,"My nympho teen sucked my soul out, the best THROATJOB I've ever experienced in my life",1
3729,Lust HD - Friends (Haley) (Betty) Try Threesome,1
8765,Conor Oberst is going to be at Summerfest and I will not.  gahhh.,0
15943,Bummer SNL is a rerun tonight ,0
12176,Joseph_Dean COME HOME! i need a friend. ,0
29747,"urgh, half an hour and its school timesssss. ",0
21597,"Scrambled egg on toast, sun shining, weekend, F1 and a cold drink. Perfect. It's all about to be ruined by college work though! ",0
7400,由美子は息子のセクハラに悩まされていた。オナニーを目撃された時、口止め料がわりに要求されたエロ行為を受け入れてしまったあの日を境に息子は様々なプレイを要求してくるようになり、その内容はエスカレートする一方。ついには挿入される直前まで追い詰められていた。,1
20708,just got back from camp! I should've gone earlier. it looked like so much fun  haha,0
19660,wish someone would buy me an Alienware M17x ,0
3159,Muzzzza ur as bad as KateEdwards ,0
8483,"I am setting a new goal for the month of April. By April 30, I want to have watched all the 24 that i have missed so far, which is all ",0
2742,who is she,1
11105,BooksByTara Hung up my first load of wash. Let's hope it will get dry. Heard it is supposed to rain ,0
6108,Amazing teen fucks and eats jizz,1
29974,The weather forecast says it's going to be sunny for the next five days.  Must be time to go to work ,0
2872,Le doy una buena chupada de Concha a mi amiga,1
2122,pfff i want to go back to bed i feel horrible today ,0
25977,bloodbelieve sweeet. i'll probably stick it up on wednesday. i am slowly working through a synoptic paper right now ,0
8081,bosssanders what? why? noooooooo - but i do know someone who needs it if  you can't go ,0
21614,driving home from Chicago! ,0
10457,Petite Teen Kennedy Kressler Risk Her Pussy's Life When She Tries A BBC,1
2471,gabrielmansour multiple books at a time. although i have a bad habit of not finishing books ,0
3574,damn! I have missed #gsoc apply deadline ,0
2118,Homemade-web 4537800,1
13090,quoll Didn't make it to Dunlay's today. Now it looks like I may not even make it to Elbo. WAAAHHHHH ,0
20788,jetlags suck. Awake active in the morning and then suddenly... it hits you ,0
11602,White Milf Needs the Black Dick 28,1
10887,Mitten im Baumarkt Fickt der Fettsack Jan 18 eine Großbusige Geile Teen Schlampe!!!,1
8603,Baile con pija,1
4838,free public amateur porn,1
3729,wish there was a a little tunnel (preferably a waterslide!) direct from dressing room to water so people don't see me in my togs ,0
12084,LeonceN Oh... well damn. ,0
12868,Skinny Titless Thai Sticky Out Ass,1
10644,"all did not go to plan, ended up seeing The boat that rocked, and only about an hour and a half later ",0
18995,Watching TV till bed then work whoo hoo! ,0
1055,LoveMeagan how i mss the snippet hun?..wts it of may i ask?..i wanna hear ,0
22871,GracieDarling too early. i'm not ready to get old ,0
21474,going back to work 2morro  boo ..... Save me,0
16360,"aero252 I was actually referring to all time low, I really don't know whats going on in texas  I wish I did...I wish I was still there.",0
11395,Stepsis sucks stepbros young man meat until their mom interrupts the sexy sesh!,1
12578,I do hope Gisburn in in Robin Hood this week - missed him and his  magnificent hair last week ,0
21239,aaaaah she's still the most beautiful. ,0
25620,IR interview tommorrow. Yawnzz. It's been 4months since I had a job.. ,0
352,ScoutBuck tons no hay Troll? ahhhh ,0
16751,musicaesbelleza i know. i looove it. how are you babby. long time not talk ,0
28978,"Fed the horses, now I need to do homework but I don't want to ",0
3016,Amazing Anal Squirting from a college girl with opened ass,1
7938,"Scored decent deals on Argento, Morricone and Goblin. Nice...too bad it's not vinyl though ",0
10347,"PauloMoreira hey, i will only in town until thursday, so alas can't do... ",0
25243,Ah! Early start to my work day. So tired ,0
9201,stressin...flight in 8 hours ,0
9693,McDonald's girl SUCKING BBC trying to be the best I ever had,1
3312,Dominating babe fingers her bfs asshole,1
28553,Is Rather Tired And Doesn't Want To Go To School ! ,0
11285,"susan_boyle_com asking all to hold Susan in prayer, She will face many challenges now - not to mention unscrupulous people ",0
3953,Action defloration movie,1
17879,watching Girls Next Door haha!!!nothing on TV ,0
544,Fat girl relish in a lesbian action with a big tits woman,1
12064,Eshcii Aw me too ,0
9189,"coachdeb, loving your #randomfacts! tell us more! - cant DM - my DMs been broken on twitter for 2 weeks  can see, cant send",0
15440,#readathon  Cheered on another 10!  You all are doing great so far.  Back to grading papers.  ,0
5439,I feel like DEATH.  My throat hurts.,0
22201,"x_SammyBaby_x  bad times, bad times!",0
16842,"katelyntarver Hi Katelyn! Any news about that TV show you were taping?  Idk if u mentioned it the other day at the chat, I wasn't home ",0
13568,I don't want to leave London  if I can hide somewhere on the tube I will,0
3360,DanaEatsYou   hahaha im sorry  i didnt mean to. and you're supposed to film the day of silly! thats cheating doing it the day before!,0
1912,HoptonHouseBnB I'm thinking of getting my old FM tuner from the garage as I'm having problems when my PC just stops playing audio ,0
18039,"Liddell lost tonight  .. upset but not surprised, he is getting too old to fight.",0
15740,"DtheGodAwful  I remember now! But I have HORRIBLE memory. Plain out Horrible. I don't even know what to say, completely my fault. Again ",0
16653,mountainmudbabe yummy to bad you missed ,0
6068,Last day of health class  so sad. @TomFelton those pancakes sound good! can i have some?,0
8895,owlmonkeys fuck you ,0
6718,Go to class??.... Or study.... ,0
24598,stephenfry unlucky ,0
723,Unholyknight so did your mom last night.  brb while I figure out whether I just burned you or myself the most.,0
9281,chiliad no ice cream here ,0
9728,a short blow job scene,1
5359,too sick to be here ,0
4490,"craftjuice thank you. Since I can only use the url once, I won't be able to add individual items  ",0
25920,I'm up! I already miss my computer. ,0
3990,Catherine Denby Loves Hot Sex,1
15933,i wish i'd chosen play ,0
6066,Yong beauties screwed hard after dance,1
6454,holly_Dougiemad my mum could have droped you home ,0
25347,"Off to a COLD day of softball, then Red Robin for Emma's birthday. Unlimited french fries here I come. Oh shoot, weigh in on Tuesday ",0
12136,started Day II of Vegas with horrible dreams of his friends being beaten up quite severely. ,0
115,HibaNick yeah aw but i know i wudnt stand a chance ,0
660,sad day: manu out for the season ,0
16683,fabulouslorrain I can't get pics up on the foodporn blog either ,0
9682,"bed time, stressful week ",0
824,Fed bokkie too many birthday treats-sicko ,0
7886,Harshly fucked teen,1
23431,ywii It's sunny here too. Still boring though. My sister has gone to the park without me ,0
5076,"Enjoyed playing golf yesterday in the sun, now reaching for the paracetomol before badminton session ",0
7214,tomashastings More OS fun...  Muddling thru so I can get my pics up today tho!,0
2878,y isnt it as sunny as yesterday ,0
15254,"Rachealblack110 nothing much, babysitting ",0
869,work again ,0
27933,Feeling like I have no energy! It's tech week for the show. I don't have time for this! ,0
19426,Just finished catching up on my Algebra Homework.  Now to continue on the 5 essays I have due. ,0
3836,Free legal age teenager nice-looking porn,1
7148,really wishes he didn't have to make this html email newsletter  Why do people like this stuff?,0
12539,"Hedda_K I wanted to cry, the poor thing was trying hard to get out of the way after it got hit ",0
2152,⭐️Motel 6 black bbc white snowbunny 69⭐️bbc eatin bbw pussy litt cumslunt pornon amatuer motel 6 thot whore cunt slave master teen indian,1
9749,Hey everyone... Have a good weekend... it's a dull grey day here. ,0
11721,Exotic4k Perfect tit ebony Nia Nacci fucked by big white dick,1
27451,have to start work  also wright is striking out a lot.  delgado making up for it though.,0
4702,wonders how how how !   http://plurk.com/p/n1czp,0
18420,"sunriseon7 yes of course, i love your show only cause i always come watch performers, and eric was on the other day but you didnt tweet ",0
2663,Fellow fucks breathtaking teen,1
10793,Grrr. MultiChoice is showing IPL cricket on M-Net HD instead of the rugby  ,0
5302,Free xxx legal age teenager porn,1
7210,"karlseguin Ack, doesn't seem to work anymore  was an awesome tool!",0
11289,"why is everyone else getting tons of subscribers, while i work so hard to get some, and i get like 2 a day ",0
25070,Morning comes too soon.... ,0
13911,mypropaganda There's some serious lag between whatever you are using for FB and the Twitter reposting of it... ,0
2418,Legal age teenager love making porn,1
27851,"michelle0824 took your advice, got mimi's!  still feel like crap though. ",0
26178,Give kids a three ring circus and they want four ,0
24432,Good Morning Twitterland!! Its going on 8 here my daughter woke me up @ 7 after a busy day and late night yesterday! ,0
12809,"That's Just great,  Group pic cancelled!  Due to this tunder storm,  Thanks Houston ",0
9363,Cécilia Vega se fait dilater les orifices par deux grosses bites,1
24790,Brad gave me his cold. ,0
7065,Booored at work.. ,0
9696,ifoundmycapo  no. Real pls?,0
19567,triixilala no  he stayed home tonight i belive.. i am out w my sis,0
27069,I wish I were in NYC today @fordfiesta training. ,0
21039,"Want to play, but need to work ",0
3598,I want this teen pussy Summer Lace 3 92,1
24354,"rencen it was cool seeing you yesterday. yep, its the name. *CLASS* ...man, tell me you got some scissors and time cuz my wig neeeds you ",0
10112,নায়িকা রেশমার বাসর রাত mallu actress reshma beautyful sexy body first night sex,1
7425,mreeves1 nooo  no BOT for me. at least i dont think so. i gotta edit allll night and go into WVAQ,0
6116,Blonde stepsis teen flexible doggystyle fucking,1
1319,had the worst dream abt some turd face i used to date... ugh. it was awful. ,0
13589,bought kim kardashian's workout dvds lol. exciiited to do them. movie marathon night tonight! its soo rainy outside ,0
29730,"i already feel really bad about sad animals. please don't make me feel worse, sarah mclachlan. ",0
12808,Jetlag persists. Unable to sleep until after 4am. At 10.30am I am up and feeling nauseous ,0
18050,is going to sleep b/c he feels really sick ,0
2830,Wicked  sex offering,1
6994,im at a safety meeting  hope its not too long.  i miss Sora!,0
3243,pissed coz a friend is too busy to see me2day ,0
7256,"is annoyed when other people are &quot;too busy&quot; to do their work, so they ask me to do it. not fair!  ",0
27203,Mannn I wish I was in LA right now so I could go to jack in the box n get me a strawberry mango smoothie.. ,0
21487,Last day off school today.. ,0
2125,Fat guy fucks skinny girl with ugly tits,1
9074,safada do banheiro,1
5166,i slept for too long last night. my head aches now ,0
7647,booo to that test i just took ,0
9648,my alarm is set to go off in three and a half hours ,0
1713,yo that was hella weird my twitter got deleted ,0
2571,Got the BrainBone daily question wrong!  - http://apps.facebook.com/brainbone/stats/339?ref=tw,0
28062,BrokenAngel  *hugs* i'm sorry the day has started out so shitastic ,0
11494,You won't tell my mom that I was watching porn ok? Please! - black / ebony porn,1
18514,djsoulnyc Its ur fave Aussie lol - i was going to come to mansions tonite and ended up ordering room service!    Next time!!,0
11247,Daughter Haley Cummings And Her Mom Shay Foxx Share Big Black Cock,1
20997,"aww the weather is GREAT for BBQ etc, but crap for shoot'n ",0
23045,The weather is better as expected...but I have to learn for my course of study. ,0
4376,Massage Rooms All over body style full sex handjob orgasm,1
20377,andykaybc lucky...I'm not tan enough  sad day,0
14141,"KeEilaa Ah, watercolors. I missed it  Too bad.",0
3304,Getting ready for work... 6:30-3:15..  ..,0
16760,matthewgood i unfortunately watch WAAAAYY too much tv  so you're probably smart not to pull the trigger!,0
11119,another awesome day. reffing hockey...missing her   ,0
16858,SashaKane Hi Honey!  Your tomato plant died?  wah! LOL That's why I love organic produce at Whole Foods LOL,0
2238,Borning - thats me with a cold virus - all bunged up and eyes all squinty...bah ,0
1709,happy birthday jaime. loveyou&lt;3.     ...officially screwed right now. midterm. quiz. 2 projects. and 300 page book. shoot me. please. ,0
2995,LEGALPORNO FULL SCENE - 2 on 2 Anal with Busty Sluts Lucie Wilde & Marina Viscon,1
4664,"MarissaTree - ooohh i envy you, right there!!! ",0
24925,Kinnks no. i don't know how 2 make curry NEthing. i usually get it from the indian place in my hood. haven't found a gd WI place though. ,0
16373,have no twitter followers ,0
19726,britneyspears britney i need you ,0
10448,Buckhollywood have fun!im studying  and its sunny outside!,0
3530,Very hot eighteen year old pretty,1
2500,I got lucky and I fucked these two sluts as hard as possible.,1
24932,QIT  Mark was a good friend of mine as well. He will be sorely missed by all who loved him ,0
10597,... battery is going lower and lower .... not much juice left ... 22 min remaining ,0
14281,Oh y do I work on a nice day and we rt busier then hell ,0
18730,Rachel_E_H Me too.   I want someone to warm my bed with.  I travel so much though.,0
981,Synching my contacts from my old mobile to iPhone. Import does not work well ,0
7715,"TomFelton Oh Tom, my pancake hopes have fallen flat  Oops, there's that &quot;Draco Malfoy&quot; stare. Better get back to work.",0
20558,snxy #asot400 i missed him too ,0
28091,"petewentz piecses...the stupid little fish. im just having a bad month,so you should just make it get better.  it has sucked so bad ",0
11335,On my way to a 100plus day! ,0
12664,I go back to work on Monday. I am going to go through serious twitter withdrawal. ,0
14917,rossgoldberg FasterWebmaster russiandiva FeliciaSlattery markshilensky JasonDeVelvis ShannonHerod Don't hav 2 much fun w/o me!  ,0
8019,SandyGuerriere I admit it. It was all my fault.  I accidentally pulled the power cord to Twitter thinking it was for my laptop ,0
3594,"nickynocky I pay just over a hundred, for me and occasional kids in a house, but not metered. Yours does sound high then ",0
17988,brianangelday26 u don't like us??  u dont wanna be our friend??,0
27662,I just found a housing for the curve on ebay for 20 bucks. Would have saved me 5 hours of painting ,0
617,riesen cumshot für Petite Teen-Hure die in eine Menge positionen  tief gestochert wird & knallen mag,1
5697,2 studs for one cutie,1
12078,Lascivious legal age teenager porn,1
18528,Its almost 3 am and I'm wide awake ,0
687,"The husband fucked a young mom, and then she fucked him. (a lot of cum, no condom)",1
7338,Asian Loves Black Cock,1
11500,"goood luck masias, sab and manda! i wish i could be there too ",0
15433,Doing my Astrology homework and boy is it BORING.    Gotta get it done so I can go to my friend's birthday party tonight.  Can't wait!!!,0
25632,Boarding plane to home. Finally got the tour cold.... On the last day ,0
2564,brahhh quit smoking cigs... i dont want to look old  plus... i cant breath haha,0
6701,Cock hungry whores Helena Moeller & Sofia Star - Blacked Balls Deep!,1
7197,Police punishment Kayla West was caught lusty patrool during border,1
10242,is getting ready for work then off the next 4 days to move!! I'm missing my baby so much ,0
2122,Produce 31,1
12838,My BOSS told me to shut up and i SHOVED my DICK inside her - more at www.camshminkers.com,1
6123,Gyno exam for Cgloe Lamour,1
28310,hmm Demi and Jimmy Carr annoying me ,0
7692,Sexy Milf licking my ex GF Ass - w w w.loveumeow.com,1
22952,Typical ! 15% off at B &amp; Q didn't apply to the paint I wanted  Still on the plus side I walked unaided ,0
19030,just got home and i already want to go back! i &lt;3 off-roading ,0
8867,BANGBROS - Aaliyah Grey and Selena Adams Fuck Around with Sean Lawless (bkb14385,1
527,"Snick_the_Dog If Izzy's on the cat tree, she'll stare him down, but if she's on the floor, he chases and she runs. ",0
3396,playandstay Well i've actually only been to Thorpe Park   So I'm sooo looking forward to Alton Towers!,0
7217,culaso se come todo,1
330,My man crush Jake Peavy let me down  #gayforpeavy,0
8659,Finally met best friend's fiance. ,0
20345,Prycie that story has put me off my breakfast / lunch / dinner ,0
25476,#asot400 4 hours left ,0
25056,"I made Thirteen mistakes at this morning's service.  I counted. Sorry, God. ",0
15080,making up sooooo much work ,0
793,The internet is hating me. Night i s'pose. ,0
20218,Evanseo ; hey evs. i'm starving too ,0
11831,Paris Hilton celebrity video,1
